# 待译清单（由 sync-localize.ps1 自动生成；scope<TAB>文件<TAB>英文串）
e2e	tests/e2e/smoke.spec.ts	const palette = useThemePalette();
e2e	tests/e2e/smoke.spec.ts	ControlOrMeta+f
e2e	tests/e2e/smoke.spec.ts	ControlOrMeta+k
e2e	tests/e2e/smoke.spec.ts	Explains the why.
e2e	tests/e2e/smoke.spec.ts	feat(graph): virtualize commit rows
e2e	tests/e2e/smoke.spec.ts	feat(worktrees): list, create and remove linked worktrees
e2e	tests/e2e/smoke.spec.ts	feature/parallel agents
e2e	tests/e2e/smoke.spec.ts	fix(diff): handle renamed files in word diff
e2e	tests/e2e/smoke.spec.ts	h2, p
e2e	tests/e2e/smoke.spec.ts	img[src*="gravatar"]
e2e	tests/e2e/smoke.spec.ts	iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAADUlEQVR42mP8z8BQDwAEhQGAhKmMIQAAAABJRU5ErkJggg==
e2e	tests/e2e/smoke.spec.ts	temple gold
meta	apps/desktop/package.json	tsc --noEmit
meta	apps/desktop/package.json	tsc --noEmit && vite build
meta	apps/desktop/package.json	vite preview
meta	apps/desktop/package.json	workspace:*
meta	apps/desktop/src-tauri/Cargo.toml	AngKorGit Contributors
meta	apps/desktop/src-tauri/tauri.conf.json	icons/128x128.png
meta	apps/desktop/src-tauri/tauri.conf.json	icons/32x32.png
meta	apps/desktop/src-tauri/tauri.conf.json	icons/icon.icns
meta	apps/desktop/src-tauri/tauri.conf.json	icons/icon.ico
meta	apps/desktop/src-tauri/tauri.conf.json	pnpm build
meta	apps/desktop/src-tauri/tauri.conf.json	pnpm dev:vite
meta	package.json	install:mac
meta	package.json	playwright test -c tests/e2e/playwright.config.ts
meta	package.json	pnpm -r build
meta	package.json	pnpm -r lint
meta	package.json	pnpm -r typecheck
meta	package.json	release:mac
meta	package.json	tauri:build
meta	package.json	test:watch
meta	package.json	vitest run
meta	package.json	website:build
meta	package.json	website:images
meta	package.json	website:preview
rust	apps/desktop/src-tauri/src/account_check.rs	{email}:{token}
rust	apps/desktop/src-tauri/src/account_check.rs	{scheme}://{host}/api/v4/personal_access_tokens/self
rust	apps/desktop/src-tauri/src/account_check.rs	{scheme}://{host}/api/v4/user
rust	apps/desktop/src-tauri/src/account_check.rs	application/vnd.github+json
rust	apps/desktop/src-tauri/src/account_check.rs	Basic {basic}
rust	apps/desktop/src-tauri/src/account_check.rs	Bearer {token}
rust	apps/desktop/src-tauri/src/ai_cli.rs	.asdf/shims
rust	apps/desktop/src-tauri/src/ai_cli.rs	.cargo/bin
rust	apps/desktop/src-tauri/src/ai_cli.rs	.claude/local
rust	apps/desktop/src-tauri/src/ai_cli.rs	.local/bin
rust	apps/desktop/src-tauri/src/ai_cli.rs	.local/share/mise/shims
rust	apps/desktop/src-tauri/src/ai_cli.rs	.local/share/pnpm
rust	apps/desktop/src-tauri/src/ai_cli.rs	.nvm/versions/node
rust	apps/desktop/src-tauri/src/ai_cli.rs	.opencode/bin
rust	apps/desktop/src-tauri/src/ai_cli.rs	.volta/bin
