# batch-3 skip 清单（pending.tsv 行 501–814）
# 列：line<TAB>scope<TAB>file<TAB>source<TAB>类别码（S1–S16，t1 契约 §2.1）
619	website	apps/website/src/components/Header.astro	M4 6h16M4 12h16M4 18h16	S12
620	website	apps/website/src/components/Header.astro	nav a	S4
623	website	apps/website/src/components/Hero.astro	0 0 24 24	S12
625	website	apps/website/src/components/HeroGraph.astro	0 0 24 24	S12
628	website	apps/website/src/components/HeroGraph.astro	feat/worktrees	S4
629	website	apps/website/src/components/HeroGraph.astro	init: why I made this	S10
630	website	apps/website/src/components/HeroGraph.astro	M12 2H2v10l9.29 9.29a1 1 0 0 0 1.42 0l8.58-8.58a1 1 0 0 0 0-1.42L12 2Z	S12
631	website	apps/website/src/components/HeroGraph.astro	M7 7h.01	S12
632	website	apps/website/src/components/HeroGraph.astro	M8 21h8M12 17v4	S12
639	website	apps/website/src/components/Install.astro	0 0 24 24	S12
641	website	apps/website/src/components/Install.astro	brew install --cask cheat2001/tap/angkorgit	S5
642	website	apps/website/src/components/Install.astro	chmod +x and run. Needs WebKitGTK 4.1 and libssl, which most desktops already have.	S5
644	website	apps/website/src/components/Install.astro	m9 6 6 6-6 6	S12
648	website	apps/website/src/components/Logo.astro	0 0 64 64	S12
649	website	apps/website/src/components/Logo.astro	M16 16 L12.5 26 L12.5 34 L19.5 34 L19.5 26 Z	S12
650	website	apps/website/src/components/Logo.astro	M16 40 C16 48 24 46 32 46	S12
651	website	apps/website/src/components/Logo.astro	M32 36 V 54	S12
652	website	apps/website/src/components/Logo.astro	M32 6 L27 20 L27 30 L37 30 L37 20 Z	S12
653	website	apps/website/src/components/Logo.astro	M48 16 L44.5 26 L44.5 34 L51.5 34 L51.5 26 Z	S12
654	website	apps/website/src/components/Logo.astro	M48 40 C48 48 40 46 32 46	S12
655	website	apps/website/src/components/mock/AppFrame.astro	 100%	S12
657	website	apps/website/src/components/mock/AppFrame.astro	 main	S10
658	website	apps/website/src/components/mock/AppFrame.astro	0 0 64 64	S12
659	website	apps/website/src/components/mock/AppFrame.astro	M16 16 L12.5 26 L12.5 34 L19.5 34 L19.5 26 Z	S12
660	website	apps/website/src/components/mock/AppFrame.astro	M16 40 C16 48 24 46 32 46	S12
661	website	apps/website/src/components/mock/AppFrame.astro	M32 36 V 54	S12
